House_Age,Number_of_Occupants,Temperature,Humidity,Day_of_Week,Is_Holiday,Appliance_Usage,Outdoor_Light_Intensity,Window_Open,Hour_of_Day,AC_Usage,Heater_Usage,Total_Energy_Consumption
42,1,20.453135556239022,46.1695147240618,6,0,3.5635202521106315,3514.5805527399075,1,18,0.0,1.3570938379203608,6.29
4,6,17.10966829244632,30.787102825436246,6,1,0.5,4666.997867155211,1,13,1.3248877891704147,0.2506297439240145,2.76
29,5,19.619206235473666,55.93563723853821,4,0,1.7801760734975773,5763.059748267274,0,20,2.1170724781534815,1.0512508233501168,5.62
18,1,26.631768861715067,33.057386259314185,5,0,3.4381691840463993,4123.754575278193,1,22,0.2092983779946208,0.4105415080402694,4.95
26,2,13.167594779237692,59.60163659282992,0,0,2.5203237496560718,5326.757793511311,0,22,0.8763108381459869,0.8063823682266009,5.29
44,1,12.001997095265736,24.61358978612006,1,0,3.5558749812437744,2411.901999912576,0,11,3.0,0.9282118556752696,7.92
34,5,23.122831375036228,29.848447354590693,2,0,2.7509024927366665,4427.83585006384,0,22,1.284898952222961,0.3574172164918457,5.34
10,1,26.221210050529784,56.97241785184207,1,0,1.5661462284745795,4102.865898786037,0,22,1.6802341880408949,1.5496008340248348,6.25
36,1,26.89995331398917,67.594986160488,5,0,4.293442835758967,2326.237763436857,0,5,0.5657347304032936,1.052623134920472,6.97
14,1,17.246016686528677,50.73507163767201,0,0,1.836551764782419,3693.656865960381,1,18,1.1209181903120846,1.3834533517047891,5.27
31,5,16.10219036343737,70.76066178860391,5,1,1.7543593864032923,5026.801491994731,0,12,1.9610477044096384,0.9949329833050918,6.06
48,1,18.56939687612664,46.58527438808069,5,0,3.3196892331778325,771.2732003209503,0,10,1.472713627120335,0.22413305884889512,5.92
15,4,20.036006570516026,87.66538489162545,6,1,1.5885993635779938,3760.199442637255,0,13,1.5261936883268759,0.03053225309095331,4.75
8,6,20.323495794382765,35.03799429487283,3,1,1.2067912918628385,3456.4880208668037,0,5,1.364055250797842,2.0383609073651385,5.15
14,4,22.60589012806223,44.305760493116864,4,0,1.7323413129546381,4323.017502961129,0,13,0.7782797092593142,0.0769105159168122,3.66
23,5,29.028125602975727,75.2691180722683,0,0,3.320164790419618,5087.43163683308,0,18,1.4031261551804954,0.10675905825507759,6.28
40,2,21.696370472805828,51.12519138109001,3,0,4.6395736628484165,4838.752971229126,0,22,0.013547274113701935,0.0,6.14
21,4,26.68824913098551,69.24450163978898,5,0,2.5048856498832524,5166.074308891311,0,10,0.8988967445087319,1.302555694298929,5.58
16,6,25.273303380482492,35.16881044942255,6,0,1.7758515222276334,5417.023045116512,1,16,1.1788660708577514,0.9371265615104161,5.38
45,3,18.4487640766672,40.71241182837811,0,0,3.734605170647966,3563.935032522668,0,20,2.3515830652333927,1.245246196356691,8.44
18,6,25.215473194276164,63.969626924303334,6,0,1.8847148954871704,1087.078469175366,0,3,1.1648648164583477,1.0040854427598567,5.39
47,4,24.871951825786425,33.434288049896246,5,0,2.055860319164766,4806.889022345686,1,22,2.496880969719043,0.3762363352368598,5.32
24,3,21.99724921249927,36.800880458237216,3,0,2.9165861027053133,2790.3973187974084,0,23,1.1654071992070105,2.6161943154898593,7.88
26,5,22.86916089209017,53.33127701531428,1,0,3.6411008145076345,4338.815980137904,0,7,0.10957325403603513,1.2246856040149685,6.33
25,6,21.710948401823035,74.7666251859079,3,0,2.5705197533183535,2299.4446529620236,0,3,0.1673871693630994,1.590904700468768,6.56
45,2,16.539858833318142,60.50783369348879,4,0,2.1452840924019907,3110.624487592514,1,15,0.034078539531487095,0.48299773743075636,3.82
41,3,33.82837855635686,51.876045870347646,1,0,4.821285333146952,4696.038953454617,0,19,1.4347687681377876,1.0619855117468016,9.25
29,3,27.277509561162745,57.46894113706365,6,0,1.8293080414357603,3467.18292829145,0,20,0.25632169677793026,0.6061136353763491,4.16
15,6,24.636045829642107,28.90118858430151,2,0,1.9402668122647377,1996.5649171919579,0,16,1.5525172646029959,2.182873626067175,6.52
45,4,19.973756773577982,46.30242200143325,1,0,2.1116801269865557,2374.5946118301517,0,7,1.8963240315628762,0.3573040349875796,5.14
1,3,21.541030026985098,61.61384380796723,1,0,3.0511393587617563,5353.073549888792,1,15,1.5386418065866225,0.6026277821141162,6.3
25,5,16.142328373898856,58.556515496614765,2,0,2.0328833627844913,3576.2433535635355,0,14,2.142495197341531,0.1889979108471037,5.13
7,6,24.349694400264298,64.17511179493565,1,0,3.317256552115308,3603.6079445545247,1,18,1.5453781679217118,1.0741196782899027,7.01
9,5,23.680920295830465,65.52233230522451,1,0,2.448200105509746,3266.8874923566514,0,7,1.4024585492788297,0.7832617399534302,5.89
24,6,20.96721538720627,58.397502154205135,5,0,2.180940141037302,2176.5854886534507,1,2,1.6579894165428533,0.8414832020855668,5.89
1,5,22.149577125656467,20.0,2,1,1.9380068844636336,3678.702123238207,1,5,0.0,0.5993764657478369,3.42
44,4,20.507385420969097,60.04693669356183,5,0,2.4748679762099184,5484.388281749725,0,10,1.9777260313561336,0.3032393154265137,6.26
8,6,19.52933045772179,47.70023365380142,2,0,2.947118869527124,3066.255631800757,1,3,0.9400633074150876,0.5996028972273981,5.94
24,2,18.11806314053291,49.20113138050411,4,0,2.4648670753975415,1733.9821414896546,0,8,2.39381540058962,0.8332239781369484,6.42
11,4,16.89591266344843,49.418915103274436,1,0,2.732519013552456,4929.170656284647,1,17,0.9770473801269643,0.3790862907311969,5.41
17,5,18.49048104237933,59.37665751295871,1,0,1.7248387093827693,4101.001042289247,1,17,1.3585987730848277,1.5905930702126851,5.79
8,6,18.87435638603419,32.95252466231076,1,0,1.7840153521240085,4227.902946438029,1,1,1.2979255408142851,1.2189964756588765,5.39
35,4,27.445997135216132,29.261249157058145,4,0,2.4952357639500446,4454.225786665959,0,18,0.0,0.499036060350509,3.75
35,5,18.906790089852358,36.42870688173072,5,1,2.619579811704057,1906.5361823471312,0,22,1.4455820107307975,0.7196696953294481,5.36
33,1,11.829432863600855,68.7930757198992,6,1,2.5477790261295263,3863.961942723161,0,6,1.7866504912669534,0.8044308706185227,6.42
5,1,23.45846008695049,48.442398375125705,1,0,1.9096839714259684,4290.79214503489,0,20,0.9905969452296154,1.593419499792046,5.43
42,3,25.11804308766694,62.58239476995904,2,0,2.572878835592574,3948.4455774533844,0,13,0.4522367292241636,0.0,4.51
39,2,26.84382801073916,62.19908549932856,2,0,2.5254139703677736,3939.78509851996,0,18,0.05445894789706407,0.4400845561910954,4.48
41,1,22.830820914436718,60.95154049159585,2,0,2.3788402051035624,5388.493125860492,0,8,0.9652985194467423,1.1798741200812624,5.74
28,5,16.299455699048536,62.90040651689218,2,0,1.8477994761205065,4527.902165449011,0,6,0.3823371155430645,1.0840783499470497,4.68
7,4,18.005351873262363,47.16589003282227,6,0,3.0192513524932165,4754.091597231346,0,21,0.36638737116411213,1.3033285886927284,5.74
9,6,25.00082069229974,65.03217920623173,5,0,2.4881598006999717,3811.7083564317654,0,1,1.4472601463512018,1.5192155657216082,6.73
8,4,29.295198900478084,60.727580182876785,5,1,1.74974714202553,928.9192178468052,1,16,0.29332488811713553,0.47033607671723315,3.86
12,3,16.285533327784712,31.20734862251752,5,0,2.375016914234382,3609.3502126506933,1,19,0.9439419262570823,0.2121320337137549,4.26
34,4,23.059588968577028,55.891145952005594,3,0,1.9172440514515052,3970.6574187155925,1,8,0.0,1.3933795219978835,4.93
33,1,19.225297826452632,52.76008096649098,2,0,2.503156172432899,3767.3388783479354,0,10,0.7354299609933523,0.6745736230043452,4.55
48,4,17.87964956027514,61.94325462952019,4,0,3.9282625348065143,3909.8876237473937,0,0,1.166105216264803,1.2458492123181897,7.94
23,1,22.174984030043447,55.38545681142755,5,0,2.647870820819508,4256.258757446302,0,5,1.2450283945923908,0.4276936627297129,5.23
24,1,21.33176399198881,51.4050926872793,5,0,2.70147530340054,5139.732228717711,0,23,2.0863300922894776,0.06452035073987783,5.64
37,2,11.876827229351068,78.3451189944393,3,0,3.924324012097962,2971.0846207697755,0,23,0.8393390796883331,0.0,6.63
35,3,23.007961473903624,64.11665004641544,5,0,2.771071842150035,3753.4632793361493,1,14,1.0295990765228153,1.0126973569466466,6.56
44,5,23.64047854187598,55.609631810086825,6,0,2.933732391566324,5844.518434242097,0,12,1.6246804918095261,1.2890564863109093,6.6
40,1,25.736608686085138,38.22174276091063,1,0,2.644330342023534,2054.614105011692,1,13,1.5303350804607594,1.9269981369234315,6.52
22,6,19.136472746739507,56.80921847510356,2,1,2.115264580642335,3667.413372915084,1,13,2.0396620091181714,0.0,5.24
27,3,14.060837429830682,42.20124073424078,5,0,2.948087958577881,1381.3664370093634,1,9,1.5788554067071001,0.7802990524072878,5.9
35,5,19.893452151335364,30.206377806413904,1,0,4.2021652585343165,3690.2796485431923,0,12,0.48993121672629336,1.0517550112419196,6.6
1,6,25.5296308138646,48.900757842476104,2,0,1.1791557380240918,4122.1236526943985,1,6,1.2517323971707437,2.0770566162696436,5.86
35,4,21.62067090007598,49.82880037595671,2,0,2.04279446763654,1819.6132657194448,0,12,1.9709316787228843,0.722833583484694,5.05
37,3,26.24653693091217,70.44574802227518,5,0,1.6470019624712195,4251.711606489375,0,23,2.004329516303461,0.6698708477707414,5.55
47,6,15.49548386851696,69.60263497654726,6,0,1.7587330000027435,3186.411091046753,1,6,2.261108426943009,1.7421570228018644,6.98
14,3,26.06048654866191,65.03794232082404,3,0,3.7234369103656437,5295.779322176404,0,11,0.0,1.4154278699671607,7.11
3,3,23.245226483053248,53.682487694556905,2,0,2.3417657041163835,4570.215654067537,1,12,0.0,1.3926386252114145,4.68
1,4,20.225491101417035,53.88835204445727,2,0,3.222966817707066,3349.449743260438,1,11,1.4146332751849515,1.3089935447019916,7.41
5,4,27.35176519171482,63.32996292227704,0,1,1.8329685547151136,3750.319723092727,0,7,1.9748762967773108,0.8150023107047846,5.98
26,3,23.200120874427714,64.64893268450108,6,0,1.855153510180549,5860.493372292238,0,22,2.172195637715271,0.8349796409489216,5.81
14,6,17.078966301686716,60.34678898664469,6,0,1.4823119992184188,3861.706634160495,0,12,0.0,0.9122966498329439,3.68
39,2,26.9093701787684,62.62842041664584,4,0,3.9450427384501863,2385.1754801460747,0,17,0.4966455249981414,1.2972451228077473,6.95
27,1,20.791429395970518,53.982040605219005,6,0,3.275109718917383,2629.3572958056197,0,18,0.3741671461365834,1.6070381704393744,6.72
9,4,22.184732250696303,50.767406914755625,4,0,1.4494901640109783,3774.172095392263,1,16,2.268487797845486,1.1322259839320086,5.46
15,2,17.683532160011644,21.69458407911528,1,0,3.64226810479939,5349.889699765982,0,0,1.6285454910256152,1.1179235684817779,7.01
15,4,21.741611711490016,49.89900943433986,1,0,2.2404999687633023,3411.8606047138232,1,12,2.359507539756784,0.5062454550441773,5.9
26,3,17.269690918697997,44.16081332048611,3,0,2.9532179625217925,2686.637594184862,1,2,0.09728977660461768,0.6324076846787436,4.26
42,2,21.139031023436814,56.46217180943175,1,0,2.5470116385498507,4010.7300086079904,1,13,1.1205752059426293,0.9409647111122532,6.0
13,6,22.153398362577153,44.85459664595124,6,0,1.0633781761734633,4392.961522027956,1,8,0.0,1.348482421489624,4.01
32,6,25.028870538358873,57.05941416698376,0,1,1.6722567200493528,4619.259419535765,1,12,0.6476501406107804,0.3618371345810607,3.92
39,5,14.96695498998378,27.030946050357453,1,0,3.853944110540471,1958.6930968119507,0,17,0.8772061685044038,1.0580703461034577,6.67
49,1,27.014992584545688,40.5428996003993,2,1,3.43929979102868,4379.079248104355,1,2,0.49870095113608537,0.712111980136388,5.55
32,1,27.171511197602165,44.27276912463796,1,0,1.4783408325470972,4312.184509150058,1,7,0.1065437036231971,1.6478036219214918,3.58
4,4,21.055054887301424,39.2509486067608,5,0,2.7079842228866213,3471.4442531161476,1,11,0.6073551291986543,0.7791538568682527,4.9
30,1,22.645275219893833,100.0,1,0,2.2853527124982014,5363.211047506909,0,8,0.19056511211702154,1.2210892536993585,6.69
37,5,23.532620216605974,24.560890009607288,2,0,3.641954114800157,4542.869113496504,1,10,0.0,1.5538841661894636,5.87
23,6,22.416846696487227,65.13102540337428,0,0,2.295123272451593,2971.4846792586477,1,2,0.0,1.6383386079963569,5.63
39,2,25.01714693841629,69.94018564963227,4,0,1.7318350216287224,4562.988784052071,0,22,1.120268370000986,0.3932260871865475,4.74
45,2,20.063802445434774,48.377726534403884,0,0,3.2370885643652136,1735.1141119916188,0,17,1.4591167632120912,0.8075492077578826,6.43
15,6,18.19935793391264,59.98023213441054,0,0,3.6891045426296025,3426.9495067248245,0,13,1.6814267513821082,1.1539383834276338,7.49
43,3,24.140840171921685,64.15685036401214,3,0,2.8935412871565185,3508.7326126571133,0,10,0.9409885493117385,0.8035838631434699,5.72
29,6,14.370793578958814,57.03499242270836,3,0,3.072102313815252,4793.301196885816,0,1,2.2304131300113545,1.5309807477020971,8.22
36,2,25.09522257135481,28.516557231160608,6,1,1.3048243968283995,7647.687141887153,0,15,0.45724178075543376,0.5870725703704388,3.12
13,4,25.61291549096225,61.10667226562647,2,0,1.2220822700495162,3648.009078285661,0,16,0.0,0.934251874044538,3.57
32,5,18.088537141606608,69.56708903258819,6,0,1.1500023544325857,5757.92971730889,1,14,1.2514754178019982,0.7365317651983179,4.63
7,6,29.11043352327649,85.95429074168872,3,0,3.5507934973459347,5629.380628605379,0,7,0.30562286532767036,1.0865175667945968,7.17
22,3,20.244206060580343,34.3216579051876,5,0,2.1127672846614174,2404.2411979793787,0,15,1.1072215314205862,0.015331949785902022,3.56
28,4,19.81379604662732,52.415510211604875,4,0,3.3263001951297775,5606.95524009567,0,22,2.128174844736944,0.5855578182824785,7.06
2,6,18.732393750109182,54.57447155795231,2,0,1.8997449662318475,3154.2866814314934,1,14,1.9531773467925384,1.2165650736469624,6.01
42,4,24.240521177290177,53.505611244306614,5,0,2.4854566193929593,4011.022652472373,1,12,0.7911870509401786,1.0417380246159962,5.37
45,6,20.043193423383787,29.897875647250785,3,0,1.6943150850893036,6755.862474009966,0,1,0.0,1.4082981175291454,4.11
6,4,14.8143303839401,71.52952576635272,1,0,2.172430156328689,4620.06040417911,0,20,0.45386276294311767,0.4248011603107685,4.77
28,1,23.708094695019426,69.95172341039003,5,0,0.7904196159941725,3228.4900301900207,1,22,1.7716685272849149,0.5968805178758123,4.27
28,4,20.543540314075994,60.64912414752263,3,0,2.182353209258077,4534.568479799051,0,21,2.122548752492541,1.2873795552649727,6.53
44,1,27.42963054843124,48.61782171399434,4,0,2.094055223092551,2164.8706763359105,0,5,1.3639565982650002,0.9923822607088606,5.11
44,2,23.54383637119535,51.76699948898686,3,0,0.8050919876548455,5274.507744927878,0,14,0.4514591616568895,0.5960004119788337,3.66
20,1,23.33077410257217,50.70442823248241,2,0,2.9247890945352486,3227.654997851906,0,18,1.2306193423600926,0.529009112392131,5.67
30,4,27.072535144597378,34.13772844414484,5,0,3.0742829142286316,1049.2497473342437,1,11,2.3371798662574297,0.078399313792474,6.55
11,5,22.800077409131227,65.51335304319316,6,1,1.8379598956267893,3567.719739004766,1,9,0.7745436860119446,1.7462804124242592,6.01
28,5,25.910992838489836,55.3583919311413,1,0,1.294763508931857,3383.058887196996,0,11,0.22829336556759183,0.0,2.51
25,2,18.750764328287243,65.30058672231078,5,0,4.2304012136803575,4598.578883873234,1,14,3.0,0.0,7.64
39,4,30.230194957046443,58.882432475153216,2,0,2.7561626486057182,2615.9367815546952,1,17,1.8009269736213567,1.4721722058229965,6.81
33,1,23.377158112516895,39.918576896499005,1,0,0.5,4418.362052434489,0,4,2.331752824358067,1.999280695999293,5.3
1,5,15.991338401299478,41.1208185111835,5,0,2.071672924611394,3183.27864259177,0,14,1.5829693791022361,1.7770760856289254,6.76
27,6,22.68928231134894,74.7057943770313,1,0,1.8484052786132064,3915.620882660832,0,8,2.5113036358618643,1.0521028552659948,6.61
13,3,22.933330596226334,63.39582314857213,4,1,1.7745540636879504,5279.667398558022,0,3,1.2540995724426098,1.1048694983230807,5.51
41,4,22.623977837479448,49.29771419547747,5,0,3.5921861519593907,5318.768015686632,0,16,2.6072966878527115,1.2166195114945226,8.53
3,6,10.50062024193396,63.405761224107756,0,0,2.7529543572652058,5530.685212097824,1,20,0.3396324354569864,0.4855128688487926,5.69
39,6,19.2595827863865,41.92907203604869,4,1,3.1353081535125327,3085.9783765146612,1,19,1.913529011034679,0.7270061027391914,6.68
6,4,15.085746093840255,71.2853893435413,6,0,2.362093874399934,4356.633386397235,1,21,1.209360658551266,0.9511150957215802,5.68
8,3,15.15821771485173,34.637260376137114,0,0,3.3533515192922785,4408.274554856404,0,10,0.42950021448572273,0.9558730207587253,5.85
27,5,22.832094863767466,57.951644054004994,5,0,2.12669660401117,5502.765391997997,1,9,2.0749314589796546,1.6176082575929707,6.86
9,3,19.195798908532215,52.951816721403944,0,1,2.7328462197249053,3606.567040959102,1,6,1.6898327088607856,0.0,5.14
37,2,20.1813070936503,55.195136608148104,6,0,2.987302734792589,2213.240239560949,0,9,1.6288412474925344,1.501859654087061,6.96
33,1,17.525311188948173,64.76725350101707,6,0,1.8770719806649763,5018.722060595133,0,7,0.6639318255720128,1.1373131703581583,5.51
42,1,28.896559723898335,70.01580725243629,5,0,0.5,5609.184375717912,0,2,1.5584589025768882,0.2615961158585335,3.17
44,6,22.19940548551455,48.81775239547682,4,0,0.8067964393869764,4380.6645397857765,0,3,0.0,0.9452945195522162,2.87
24,5,14.384035037912021,25.128647665257272,3,0,4.811904999704582,2688.556380162757,0,16,0.0,0.9189126000147682,7.06
15,3,25.220241082108277,29.24834528996701,4,0,3.151123856688981,6598.600810653705,0,1,2.474346753133807,0.7974006283504875,6.62
32,6,20.287386313414753,49.26948393870109,2,0,3.1981880949106243,4144.32736782663,1,9,1.2455496310236724,0.41957754982773693,5.26
32,4,27.968295306780455,55.51411839878328,2,0,3.9214778968358015,3208.319942881298,1,13,0.506556474096644,0.0,5.56
24,6,21.959434148898193,60.629776694270944,2,0,1.3750914384814608,5316.9302721961,1,22,1.0901826291022945,1.712284317456737,5.08
41,4,18.52048879542727,57.86989747910414,6,0,1.7756956582745338,5997.783815327561,0,5,1.7376210398521197,0.927800016803056,5.08
49,4,19.289767669987125,68.3576956773214,2,0,1.3952076040003487,2072.0110703078954,0,7,2.232963528424019,1.6063045660490036,6.95
49,2,19.98808576661104,82.02423260188472,0,0,4.856586413307138,4645.075578759809,1,17,1.5556580195871943,1.3614605902230168,9.1
12,2,24.448781131812893,56.443383366668435,0,0,1.5021629551182643,5556.768037992527,0,16,1.1317980677099033,0.28605541454714944,3.89
39,4,18.074496750627485,60.413007923350996,4,0,3.754247538038981,3875.1891076260317,1,2,0.0,0.7884616075381943,6.7
2,5,28.218403296743478,43.521750735097626,1,0,1.8410941807068628,4177.489563741007,1,12,0.1250074804204444,0.249386061325911,2.95
3,2,23.84284848315746,55.82311673009127,1,0,2.5852994240127947,3844.530103556716,0,20,0.5701530481138238,1.059864559081412,5.34
